school_code,postal_code,city,name
9741608E,97427,L'Etang-Salé,Ecole maternelle publique de la Ravine Sèche
9741614L,97425,Les Avirons,Ecole primaire publique du Ruisseau
9741615M,97431,La Plaine-des-Palmistes,Ecole primaire publique Zulmé Pinot
0241322G,24480,Molières,ECOLE ELEMENTAIRE LES PETITS MOLIERES
0260904S,26240,Claveyson,Ecole  privée Saint Sébastien
0530504K,53120,Gorron,Ecole élémentaire
0870248X,87000,Limoges,Ecole élémentaire Les Feuillants
0870719J,87100,Limoges,Ecole élémentaire Landouge
0870761E,87100,Limoges,Ecole élémentaire Henri Aigueperse
0871019K,87000,Limoges,Ecole élémentaire Jean le Bail
0871028V,87100,Limoges,Ecole élémentaire Jean Macé
0490677V,49310,Cernusson,Ecole élémentaire La Plume des Champs
0530233R,53250,Le Ham,ECOLE ELEMENTAIRE
0630253H,63740,Cisternes-la-Forêt,Ecole maternelle Lavergne
0070176D,07700,Saint-Martin-d'Ardèche,Ecole primaire
0260577L,26300,Beauregard-Baret,Ecole  Meymans
0271207R,27260,Cormeilles,Ecole primaire privée Sainte Marie
0581001Y,58700,Beaumont-la-Ferrière,L'Ecole Magique
0741742S,74010,Annecy,Ecole élémentaire privée UE autisme Saint-François ANNECY
0761998J,76420,Bihorel,Ecole primaire privée Notre-Dame des Anges
0711928K,71000,Mâcon,MONTESSORI
0830455U,83136,Mazaugues,Ecole primaire
0830864N,83190,Ollioules,Ecole primaire privée Externat Saint Joseph
